" B001E4KFG0"," A3SGXH7AUHU8GW"," delmartian"," 1/1",5,1303862400," Good Quality Dog Food"," I have bought several of the Vitality canned dog food products and have found them all to be of good quality. The product looks more like a stew than a processed meat and it smells better. My Labrador is finicky and she appreciates this product better than  most."
" B00813GRG4"," A1D87F6ZCVE5NK"," dll pa"," 0/0",1,1346976000," Not as Advertised"," Product arrived labeled as Jumbo Salted Peanuts...the peanuts were actually small sized unsalted. Not sure if this was an error or if the vendor intended to represent the product as ""Jumbo""."
" B000LQOCH0"," ABXLMWJIXXAIN"," Natalia Corres ""Natalia Corres"""," 1/1",4,1219017600," ""Delight"" says it all"," This is a confection that has been around a few centuries.  It is a light"
" B000UA0QIQ"," A395BORC6FGVXV"," Karl"," 3/3",2,1307923200," Cough Medicine"," If you are looking for the secret ingredient in Robitussin I believe I have found it.  I got this in addition to the Root Beer Extract I ordered (which was good) and made some cherry soda.  The flavor is very medicinal."
" B006K2ZZ7K"," A1UQRSCLF8GW1T"," Michael D. Bigham ""M. Wassir"""," 0/0",5,1350777600," Great taffy"," Great taffy at a great price.  There was a wide assortment of yummy taffy.  Delivery was very quick.  If your a taffy lover"
" B006K2ZZ7K"," ADT0SRK1MGOEU"," Twoapennything"," 0/0",4,1342051200," Nice Taffy"," I got a wild hair for taffy and ordered this five pound bag. The taffy was all very enjoyable with many flavors"
" B006K2ZZ7K"," A1SP2KVKFXXRU1"," David C. Sullivan"," 0/0",5,1340150400," Great!  Just as good as the expensive brands!"," This saltwater taffy had great flavors and was very soft and chewy.  Each candy was individually wrapped well.  None of the candies were stuck together"
" B006K2ZZ7K"," A3JRGQVEQN31IQ"," Pamela G. Williams"," 0/0",5,1336003200," Wonderful"," tasty taffy"
" B000E7L2R4"," A1MZYO9TZK0BBI"," R. James"," 1/1",5,1322006400," Yay Barley"," Right now I'm mostly just sprouting this so my cats can eat the grass. They love it. I rotate it around with Wheatgrass and Rye too"
" B00171APVA"," A21BT40VZCCYT4"," Carol A. Reed"," 0/0",5,1351209600," Healthy Dog Food"," This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding."
" B0001PB9FE"," A3HDKO7OW0QNK4"," Canadian Fan"," 1/1",5,1107820800," The Best Hot Sauce in the World"," I don't know if it's the cactus or the tequila or just the unique combination of ingredients"
" B0009XLVG0"," A2725IB4YY9JEB"," A Poeng ""SparkyGoHome"""," 4/4",5,1282867200," My cats LOVE this ""diet"" food better than their regular food"," One of my boys needed to lose some weight and the other didn't.  I put this food on the floor for the chubby guy"
" B0009XLVG0"," A327PCT23YH90"," LT"," 1/1",1,1339545600," My Cats Are Not Fans of the New Food"," My cats have been happily eating Felidae Platinum for more than two years. I just got a new bag and the shape of the food is different. They tried the new food when I first put it in their bowls and now the bowls sit full and the kitties will not touch the food. I've noticed similar reviews related to formula changes in the past. Unfortunately"
" B001GVISJM"," A18ECVX2RJ7HUE"," willie ""roadie"""," 2/2",4,1288915200," fresh and greasy!"," good flavor! these came securely packed... they were fresh and delicious! i love these Twizzlers!"
" B001GVISJM"," A2MUGFV2TDQ47K"," Lynrie ""Oh HELL no"""," 4/5",5,1268352000," Strawberry Twizzlers - Yummy"," The Strawberry Twizzlers are my guilty pleasure - yummy. Six pounds will be around for a while with my son and I."
" B001GVISJM"," A1CZX3CP8IKQIJ"," Brian A. Lee"," 4/5",5,1262044800," Lots of twizzlers"," just what you expect."
" B001GVISJM"," A3KLWF6WQ5BNYO"," Erica Neathery"," 0/0",2,1348099200," poor taste"," I love eating them and they are good for watching TV and looking at movies! It is not too sweet. I like to transfer them to a zip lock baggie so they stay fresh so I can take my time eating them."
" B001GVISJM"," AFKW14U97Z6QO"," Becca"," 0/0",5,1345075200," Love it!"," I am very satisfied with my Twizzler purchase.  I shared these with others and we have all enjoyed them.  I will definitely be ordering more."
" B001GVISJM"," A2A9X58G2GTBLP"," Wolfee1"," 0/0",5,1324598400," GREAT SWEET CANDY!"," Twizzlers"
" B001GVISJM"," A3IV7CL2C13K2U"," Greg"," 0/0",5,1318032000," Home delivered twizlers"," Candy was delivered very fast and was purchased at a reasonable price.  I was home bound and unable to get to a store so this was perfect for me."
